PublicationDate,RegistrationNumber,DesignCurrentStatusCode,ViewNumber
2016-06-03,20160127,Registered,981053
2016-06-03,20160127,Registered,981100
2016-06-03,20160127,Registered,981149
2016-06-03,20160127,Registered,981101
2016-06-03,20160127,Registered,981054
2016-06-03,20160127,Registered,981102
2016-06-03,20160127,Registered,981103
2016-06-03,20160127,Registered,981104
2016-06-03,20160127,Registered,981105
2016-06-03,20160127,Registered,981106
2016-06-03,20160127,Registered,981107
2016-06-03,20160127,Registered,981055
2016-06-03,20160127,Registered,981056
2016-06-03,20160127,Registered,981150
2016-06-03,20160127,Registered,981151
2016-06-03,20160127,Registered,981108
2016-06-03,20160127,Registered,981109
2016-06-03,20160127,Registered,981110
2016-06-03,20160127,Registered,981111
2016-06-03,20160127,Registered,981112
2016-06-03,20160127,Registered,981113
2016-06-03,20160127,Registered,981114
2016-06-03,20160127,Registered,981115
2016-06-03,20160127,Registered,981116
2016-06-03,20160127,Registered,981152
2016-06-03,20160127,Registered,981162
2016-06-03,20160127,Registered,981057
2016-06-03,20160127,Registered,981058
2016-06-03,20160127,Registered,981117
2016-06-03,20160127,Registered,981153
2016-06-03,20160127,Registered,981154
2016-06-03,20160127,Registered,981155
2016-06-03,20160127,Registered,981163
2016-06-03,20160127,Registered,981059
2016-06-03,20160127,Registered,981060
2016-06-03,20160127,Registered,981061
2016-06-03,20160127,Registered,981062
2016-06-03,20160127,Registered,981118
2016-06-03,20160127,Registered,981119
2016-06-03,20160127,Registered,981120
2016-06-03,20160127,Registered,981121
2016-06-03,20160127,Registered,981122
2016-06-03,20160127,Registered,981123
2016-06-03,20160127,Registered,981124
2016-06-03,20160127,Registered,981125
2016-06-03,20160127,Registered,981126
2016-06-03,20160127,Registered,981127
2016-06-03,20160127,Registered,981063
2016-06-03,20160127,Registered,981064
2016-06-03,20160127,Registered,981128
2016-06-03,20160127,Registered,981129
2016-06-03,20160127,Registered,981130
2016-06-03,20160132,Registered,981635
2016-06-03,20160141,Registered,981442;981443
2016-06-03,20160141,Registered,981444
2016-06-03,20160143,Registered,981257
2016-06-03,20160166,Registered,981636
2016-06-03,20160167,Registered,981637
2016-06-03,20160167,Registered,981638
2016-06-03,20160169,Registered,981555
2016-06-03,20160169,Registered,981556
2016-06-03,20160191,Registered,981263
2016-06-03,20160196,Registered,980949
2016-06-03,20160196,Registered,980950
2016-06-03,20160196,Registered,980951
2016-06-03,20160196,Registered,980952
2016-06-03,20160204,Registered,981231
2016-06-03,20160235,Registered,981639
2016-06-03,20160238,Registered,980849
2016-06-03,20160238,Registered,980850
2016-06-03,20160238,Registered,980851
2016-06-03,20160255,Registered,980972
2016-06-03,20160255,Registered,980973
2016-06-03,20160255,Registered,980974
2016-06-03,20160255,Registered,980975
2016-06-03,20160255,Registered,980976
2016-06-03,20160255,Registered,980977
2016-06-03,20160255,Registered,980978
2016-06-03,20160255,Registered,980979
2016-06-03,20160280,Registered,981395
2016-06-03,20160282,Registered,980852;980853
2016-06-03,20160282,Registered,980854
2016-06-03,20160374,Registered,981065;981066
2016-06-03,20160429,Registered,981067;981068;981069
2016-06-03,20160437,Registered,981240
2016-06-03,20160444,Registered,981640
2016-06-03,20160444,Registered,981641
2016-06-03,20160479,Registered,981156;981157
2016-06-03,20160494,Registered,981070;981071
2016-06-03,20160500,Registered,981495
2016-06-03,20160500,Registered,981496
2016-06-03,20160500,Registered,981497
2016-06-03,20160505,Registered,980980
2016-06-03,20160505,Registered,980981
2016-06-03,20160509,Registered,981642
2016-06-03,20160513,Registered,981557;981558
2016-06-03,20160513,Registered,981559
2016-06-03,20160574,Registered,981413
2016-06-03,20160597,Registered,981643
2016-06-03,20160608,Registered,981582
2016-06-03,20160612,Registered,981258
2016-06-03,20160652,Registered,981264;981265;981266;981267;981268;981269
2016-06-03,20160654,Registered,981011
2016-06-03,20160654,Registered,981012
2016-06-03,20160654,Registered,981013
2016-06-03,20160654,Registered,981014
2016-06-03,20160654,Registered,981015
2016-06-03,20160654,Registered,981016
2016-06-03,20160654,Registered,981017
2016-06-03,20160654,Registered,981018
2016-06-03,20160654,Registered,981019
2016-06-03,20160654,Registered,981020
2016-06-03,20160654,Registered,981021
2016-06-03,20160656,Registered,981644
2016-06-03,20160677,Registered,981645;981646
2016-06-03,20160677,Registered,981647;981648
2016-06-03,20160677,Registered,981649;981650
2016-06-03,20160677,Registered,981651;981652
2016-06-03,20160677,Registered,981653;981654
2016-06-03,20160677,Registered,981655;981656
2016-06-03,20160677,Registered,981657;981658
2016-06-03,20160677,Registered,981659;981660
2016-06-03,20160677,Registered,981661;981662
2016-06-03,20160677,Registered,981663;981664
2016-06-03,20160677,Registered,981665;981666
2016-06-03,20160677,Registered,981667;981668
2016-06-03,20160677,Registered,981669;981670
2016-06-03,20160700,Registered,981671
2016-06-03,20160700,Registered,981672
2016-06-03,20160721,Registered,981673
2016-06-03,20160748,Registered,981674
2016-06-03,20160759,Registered,981675
2016-06-03,20160760,Registered,981676
2016-06-03,20160761,Registered,980947;980948
2016-06-03,20160763,Registered,981475
2016-06-03,20160800,Registered,981677;981678
2016-06-03,20160819,Registered,981679
2016-06-03,20160821,Registered,981241;981242;981243;981244
2016-06-03,20160821,Registered,981245;981246;981247;981248
2016-06-03,20160821,Registered,981249;981250;981251;981252
2016-06-03,20160867,Registered,981461
2016-06-03,20160867,Registered,981462
2016-06-03,20160867,Registered,981463
2016-06-03,20160883,Registered,980940
2016-06-03,20160926,Registered,981680
2016-06-03,20160927,Registered,981541
2016-06-03,20160927,Registered,981542
2016-06-03,20160927,Registered,981543
2016-06-03,20160928,Registered,980855;980856
2016-06-03,20160930,Registered,981427;981428
2016-06-03,20160932,Registered,980954
2016-06-03,20160936,Registered,981445
2016-06-03,20160991,Registered,981681
2016-06-03,20160991,Registered,981682
2016-06-03,20160997,Registered,980857;980858;980859
2016-06-03,20160998,Registered,981075
2016-06-03,20160998,Registered,981076;981077
2016-06-03,20161025,Registered,981683
2016-06-03,20161025,Registered,981684
2016-06-03,20161025,Registered,981685
2016-06-03,20161025,Registered,981686
2016-06-03,20161025,Registered,981687
2016-06-03,20161025,Registered,981688
2016-06-03,20161025,Registered,981689
2016-06-03,20161025,Registered,981690
2016-06-03,20161025,Registered,981691
2016-06-03,20161025,Registered,981692
2016-06-03,20161025,Registered,981693
2016-06-03,20161025,Registered,981694
2016-06-03,20161025,Registered,981695
2016-06-03,20161025,Registered,981696
2016-06-03,20161025,Registered,981697
2016-06-03,20161025,Registered,981698
2016-06-03,20161029,Registered,980860;980861
2016-06-03,20161029,Registered,980862;980863;980864
2016-06-03,20161029,Registered,980865;980866
2016-06-03,20161029,Registered,980867;980868;980869
2016-06-03,20161029,Registered,980870;980871;980872
2016-06-03,20161029,Registered,980873;980874;980875
2016-06-03,20161029,Registered,980876;980877;980878
2016-06-03,20161029,Registered,980879;980880
2016-06-03,20161029,Registered,980881;980882
2016-06-03,20161029,Registered,980955;980956
2016-06-03,20161029,Registered,980883;980884
2016-06-03,20161029,Registered,980957;980958
2016-06-03,20161077,Registered,981465
2016-06-03,20161077,Registered,981466;981467;981468
2016-06-03,20161089,Registered,981285
2016-06-03,20161144,Registered,981309
2016-06-03,20161144,Registered,981310
2016-06-03,20161144,Registered,981311
2016-06-03,20161144,Registered,981312
2016-06-03,20161144,Registered,981313
2016-06-03,20161144,Registered,981314
2016-06-03,20161154,Registered,981699;981700
2016-06-03,20161158,Registered,981305
2016-06-03,20161158,Registered,981306
2016-06-03,20161159,Registered,981307;981308
2016-06-03,20161179,Registered,981174;981175;981176;981177;981178;981179
2016-06-03,20161206,Registered,981286
2016-06-03,20161206,Registered,981287;981288;981289;981290;981291
2016-06-03,20161206,Registered,981292;981293;981294;981295
2016-06-03,20161213,Registered,981583;981584;981585
2016-06-03,20161213,Registered,981586;981587;981588
2016-06-03,20161214,Registered,981446
2016-06-03,20161214,Registered,981447
2016-06-03,20161215,Registered,981448
2016-06-03,20161215,Registered,981449
2016-06-03,20161216,Registered,981450
2016-06-03,20161216,Registered,981451
2016-06-03,20161217,Registered,981452
2016-06-03,20161217,Registered,981453
2016-06-03,20161218,Registered,981454
2016-06-03,20161218,Registered,981455
2016-06-03,20161219,Registered,981456
2016-06-03,20161219,Registered,981457
2016-06-03,20161222,Registered,981701
2016-06-03,20161232,Registered,981180
2016-06-03,20161232,Registered,981181
